IdIngredient;IngredientNameEN;IngredientNameFR;IngredientSynonymEN;IngredientSynonymFR;CategoryEN;CategoryFR;ContituentIngredientsEN;ContituentIngredientsFR;IngredientPrice
0;Egg;Œuf;egg;œuf;Meat;Viande;Egg;Œuf;0.54570298
2;Bread;Pain;bread, bun;pain, brioche;Bakery;Boulangerie;Bread;Pain;1.940831474
3;Rye Bread;Pain de seigle;bread-rye;pain-rye;Bakery;Boulangerie;Rye Bread;Pain de seigle;3.729416744
4;Wheaten Bread;Pain de blé;bread-wheaten;pain-blé;Bakery;Boulangerie;Wheaten Bread;Pain de blé;1.365134726
5;White Bread;Pain blanc;bread-white, baguette;pain-blanc, baguette;Bakery;Boulangerie;White Bread;Pain blanc;1.238557454
6;Wholewheat Bread;Pain de blé entier;bread-whole-wheat;pain-entier-blé;Bakery;Boulangerie;Wholewheat Bread;Pain de blé entier;3.426623969
7;Wort;Wort;wort;moût;Beverage;Boisson;Wort;Wort;1.159780094
8;Arrack;Arrack;arrack, arak;arrack, arak;Beverage Alcoholic;Boisson alcoolisée;Arrack;Arrack;9.487537755
9;Beer;Bière;beer, lager;bière, lager;Beverage Alcoholic;Boisson alcoolisée;Beer;Bière;8.634154237
10;Bantu Beer;Bière bantoue;bantu-beer, kaffir-beer;bière bantoue, bière kaffir;Beverage Alcoholic;Boisson alcoolisée;Bantu Beer;Bière bantoue;6.091736877
11;Brandy;Brandy;brandy;eau-de-vie;Beverage Alcoholic;Boisson alcoolisée;Brandy;Brandy;12.93885646
12;Anise Brandy;Eau-de-vie d'anis;brandy-anise;brandy-anis;Beverage Alcoholic;Boisson alcoolisée;Anise Brandy;Eau-de-vie d'anis;14.39675826
13;Apple Brandy;Brandy de pomme;brandy-apple;brandy-pomme;Beverage Alcoholic;Boisson alcoolisée;Apple Brandy;Brandy de pomme;10.42758562
14;Armagnac Brandy;Brandy d'armagnac;armagnac-brandy;armagnac-brandy;Beverage Alcoholic;Boisson alcoolisée;Armagnac Brandy;Brandy d'armagnac;14.8702431
