IdRecipe;TitleEN;TitleFR;Source;LocationArea
1;5 spice vegetable fried rice;Riz frit aux légumes 5 épices;TARLA_DALAL;Indian Subcontinent
2;aachar aaloo;aachar aaloo;TARLA_DALAL;Indian Subcontinent
3;aadu lassan keri nu athanu;aadu lassan keri nu athanu;TARLA_DALAL;Indian Subcontinent
4;aaloo kofta;aaloo kofta;TARLA_DALAL;Indian Subcontinent
5;aaloo tamatar subzi;aaloo tamatar subzi;TARLA_DALAL;Indian Subcontinent
6;aalu dum;aalu dum;TARLA_DALAL;Indian Subcontinent
7;aam aur chane ka achaar;aam aur chane ka achaar;TARLA_DALAL;Indian Subcontinent
8;aam ka achaar;aam ka achaar;TARLA_DALAL;Indian Subcontinent
9;aam ki launji;aam ki launji;TARLA_DALAL;Indian Subcontinent
10;aam lassi slush;aam lassi slush;TARLA_DALAL;Indian Subcontinent
11;aam panna;aam panna;TARLA_DALAL;Indian Subcontinent
12;aam pyaj aur lauki ki sabzi;aam pyaj aur lauki ki sabzi;TARLA_DALAL;Indian Subcontinent
13;aam ras ki kadhi;aam ras ki kadhi;TARLA_DALAL;Indian Subcontinent
14;aamabtvaran;aamabtvaran;TARLA_DALAL;Indian Subcontinent
15;aanar ka raita;aanar ka raita;TARLA_DALAL;Indian Subcontinent
16;achaari aloo recipe;recette achaari aloo;TARLA_DALAL;Indian Subcontinent
17;achaari dahi bhindi;achaari dahi bhindi;TARLA_DALAL;Indian Subcontinent
18;achaari dip;achaari dip;TARLA_DALAL;Indian Subcontinent
19;achari baingan;achari baingan;TARLA_DALAL;Indian Subcontinent
20;achari chana pulao;achari chana pulao;TARLA_DALAL;Indian Subcontinent
21;achari paneer;achari paneer;TARLA_DALAL;Indian Subcontinent
22;achari paneer pulao;achari paneer pulao;TARLA_DALAL;Indian Subcontinent
23;achari paneer tikkas;sucettes de paneer achari;TARLA_DALAL;Indian Subcontinent
24;ada;ada;TARLA_DALAL;Indian Subcontinent
25;adai or dal dosa;adai ou dal dosa;TARLA_DALAL;Indian Subcontinent
26;adrak ka achar;adrak ka achar;TARLA_DALAL;Indian Subcontinent
27;adraki mushroom;champignon adraki;TARLA_DALAL;Indian Subcontinent
28;afghani paneer;Afghan paneer;TARLA_DALAL;Indian Subcontinent
29;ajwaini roti;ajwaini roti;TARLA_DALAL;Indian Subcontinent
30;akbari paneer;akbari paneer;TARLA_DALAL;Indian Subcontinent
31;akke roti;akke roti;TARLA_DALAL;Indian Subcontinent
32;akki rotis;rotis akki;TARLA_DALAL;Indian Subcontinent
33;almond payasam;payasam aux amandes;TARLA_DALAL;Indian Subcontinent
34;aloo amritsari;aloo amritsari;TARLA_DALAL;Indian Subcontinent
35;aloo anardana kulcha;aloo anardana kulcha;TARLA_DALAL;Indian Subcontinent
36;aloo antu pulsu;aloo antu pulsu;TARLA_DALAL;Indian Subcontinent
